""	"X0"	"X1"
"0"	46	62
"1"	47	62
"2"	47	57
"3"	48	59
"4"	48	46
"5"	49	45
"6"	50	58
"7"	50	60
"8"	50	56
"9"	50	45
"10"	50	51
"11"	51	65
"12"	51	45
"13"	51	45
"14"	52	45
"15"	52	62
"16"	52	49
"17"	53	61
"18"	53	49
"19"	54	56
"20"	54	45
"21"	54	60
"22"	54	48
"23"	55	54
"24"	56	48
"25"	56	63
"26"	57	48
"27"	58	64
"28"	58	49
"29"	58	59
"30"	58	61
"31"	59	54
"32"	60	65
"33"	61	59
"34"	62	49
"35"	62	62
"36"	63	64
"37"	63	59
"38"	63	57
"39"	63	60
"40"	64	52
"41"	64	50
"42"	65	54
"43"	65	55
"44"	65	51
"45"	66	58
"46"	66	63
"47"	66	61
"48"	66	48
"49"	67	46
"50"	67	65
"51"	67	53
"52"	67	56
"53"	47	53
"54"	57	48
"55"	58	57
"56"	59	63
"57"	61	62
"58"	67	52
"59"	46	46
"60"	49	49
"61"	49	58
"62"	62	59
"63"	57	51
"64"	58	65
"65"	61	56
"66"	67	62
"67"	48	46
"68"	52	49
"69"	64	47
"70"	65	59
"71"	65	48
"72"	48	79
"73"	48	73
"74"	48	75
"75"	49	71
"76"	50	85
"77"	51	78
"78"	52	70
"79"	53	83
"80"	54	78
"81"	55	87
"82"	56	86
"83"	57	72
"84"	57	69
"85"	57	68
"86"	58	82
"87"	58	87
"88"	59	75
"89"	59	68
"90"	60	72
"91"	60	82
"92"	60	70
"93"	61	76
"94"	62	83
"95"	63	77
"96"	63	70
"97"	64	80
"98"	64	70
"99"	65	79
"100"	66	72
"101"	68	74
"102"	50	69
"103"	50	74
"104"	51	83
"105"	52	72
"106"	53	86
"107"	54	76
"108"	55	70
"109"	56	80
"110"	61	84
"111"	65	85
"112"	66	76
"113"	67	87
"114"	47	78
"115"	49	74
"116"	53	77
"117"	60	79
"118"	54	81
"119"	63	67
"120"	54	74
"121"	60	77
"122"	60	76
"123"	62	70
"124"	63	78
"125"	67	83
"126"	46	92
"127"	47	104
"128"	49	103
"129"	49	93
"130"	50	97
"131"	51	92
"132"	51	90
"133"	51	91
"134"	51	94
"135"	52	103
"136"	52	107
"137"	52	96
"138"	54	103
"139"	54	93
"140"	55	99
"141"	55	106
"142"	56	107
"143"	57	90
"144"	57	97
"145"	57	100
"146"	59	105
"147"	59	95
"148"	59	91
"149"	59	103
"150"	59	100
"151"	59	102
"152"	59	108
"153"	60	97
"154"	61	109
"155"	61	97
"156"	61	91
"157"	62	99
"158"	63	106
"159"	63	107
"160"	63	101
"161"	64	99
"162"	64	90
"163"	65	99
"164"	65	93
"165"	65	109
"166"	66	107
"167"	67	98
"168"	67	95
"169"	67	103
"170"	54	101
"171"	68	95
"172"	48	90
"173"	51	90
"174"	51	95
"175"	53	106
"176"	57	101
"177"	58	100
"178"	60	99
"179"	61	100
"180"	65	101
"181"	53	91
"182"	53	90
"183"	58	95
"184"	59	96
"185"	61	94
"186"	63	99
"187"	47	124
"188"	47	113
"189"	47	115
"190"	49	115
"191"	50	120
"192"	50	125
"193"	50	118
"194"	50	123
"195"	51	121
"196"	52	115
"197"	52	123
"198"	54	127
"199"	54	125
"200"	54	131
"201"	54	114
"202"	54	121
"203"	55	130
"204"	55	117
"205"	56	125
"206"	56	121
"207"	56	126
"208"	56	128
"209"	58	117
"210"	58	130
"211"	59	126
"212"	59	117
"213"	59	116
"214"	60	128
"215"	60	112
"216"	60	115
"217"	61	112
"218"	61	113
"219"	61	122
"220"	62	125
"221"	63	119
"222"	64	131
"223"	64	125
"224"	65	112
"225"	65	115
"226"	66	121
"227"	66	128
"228"	67	126
"229"	67	131
"230"	67	120
"231"	48	118
"232"	49	128
"233"	55	122
"234"	58	114
"235"	59	121
"236"	49	121
"237"	50	126
"238"	51	127
"239"	63	129
"240"	61	131
"241"	66	117
"242"	54	113
"243"	55	116
"244"	47	140
"245"	47	143
"246"	48	151
"247"	48	142
"248"	49	147
"249"	50	150
"250"	50	136
"251"	50	139
"252"	51	141
"253"	52	139
"254"	52	148
"255"	52	142
"256"	53	153
"257"	54	150
"258"	55	153
"259"	56	137
"260"	56	140
"261"	56	135
"262"	56	143
"263"	56	149
"264"	57	147
"265"	58	138
"266"	58	137
"267"	60	141
"268"	61	143
"269"	61	148
"270"	62	140
"271"	62	138
"272"	63	141
"273"	63	144
"274"	64	140
"275"	64	150
"276"	64	136
"277"	65	146
"278"	65	142
"279"	65	138
"280"	66	152
"281"	66	138
"282"	67	151
"283"	67	139
"284"	67	140
"285"	54	142
"286"	54	134
"287"	58	146
"288"	59	136
"289"	60	150
"290"	61	137
"291"	50	145
"292"	51	138
"293"	53	145
"294"	53	144
"295"	60	140
"296"	64	146
"297"	65	143
"298"	66	135
"299"	67	150
"300"	47	149
"301"	58	148
"302"	61	151
"303"	47	138
"304"	54	146
"305"	57	153
"306"	57	154
"307"	58	134
"308"	65	133
"309"	67	143
"310"	47	174
"311"	47	156
"312"	47	161
"313"	49	162
"314"	50	161
"315"	50	164
"316"	51	168
"317"	52	156
"318"	52	167
"319"	52	165
"320"	52	173
"321"	54	170
"322"	54	159
"323"	54	156
"324"	55	165
"325"	55	155
"326"	56	175
"327"	56	163
"328"	57	174
"329"	58	168
"330"	58	164
"331"	58	158
"332"	59	169
"333"	59	171
"334"	60	169
"335"	60	163
"336"	60	175
"337"	61	160
"338"	61	173
"339"	61	169
"340"	63	166
"341"	62	165
"342"	63	158
"343"	64	162
"344"	64	170
"345"	64	157
"346"	66	171
"347"	66	169
"348"	67	173
"349"	48	167
"350"	59	175
"351"	63	174
"352"	64	171
"353"	64	174
"354"	67	175
"355"	47	158
"356"	53	174
"357"	54	170
"358"	55	158
"359"	57	166
"360"	58	156
"361"	62	176
"362"	65	171
"363"	67	155
"364"	57	169
"365"	62	169
"366"	53	163
"367"	53	167
"368"	55	167
"369"	55	174
"370"	57	159
"371"	62	170
"372"	46	180
"373"	47	192
"374"	47	194
"375"	48	184
"376"	49	198
"377"	50	186
"378"	50	187
"379"	51	191
"380"	51	192
"381"	51	196
"382"	51	178
"383"	51	185
"384"	52	179
"385"	52	195
"386"	52	183
