""	"X0"	"X1"
"0"	48	50
"1"	48	60
"2"	49	62
"3"	49	57
"4"	50	63
"5"	50	53
"6"	50	56
"7"	51	55
"8"	52	46
"9"	52	59
"10"	52	51
"11"	56	49
"12"	56	58
"13"	56	55
"14"	58	55
"15"	58	63
"16"	58	56
"17"	58	57
"18"	59	45
"19"	59	65
"20"	61	53
"21"	62	48
"22"	62	52
"23"	62	58
"24"	63	54
"25"	63	60
"26"	64	50
"27"	64	64
"28"	66	64
"29"	66	57
"30"	66	59
"31"	66	52
"32"	66	61
"33"	67	50
"34"	54	49
"35"	55	63
"36"	57	52
"37"	59	61
"38"	62	64
"39"	64	58
"40"	48	65
"41"	60	46
"42"	58	50
"43"	58	50
"44"	46	86
"45"	47	68
"46"	47	76
"47"	48	78
"48"	48	72
"49"	48	79
"50"	49	69
"51"	49	80
"52"	49	85
"53"	50	86
"54"	50	76
"55"	50	83
"56"	51	84
"57"	51	72
"58"	51	74
"59"	51	77
"60"	52	84
"61"	52	67
"62"	53	75
"63"	53	84
"64"	53	70
"65"	54	81
"66"	55	84
"67"	56	71
"68"	56	87
"69"	56	82
"70"	57	83
"71"	58	85
"72"	58	82
"73"	58	71
"74"	58	77
"75"	60	68
"76"	60	79
"77"	60	81
"78"	62	77
"79"	62	73
"80"	63	74
"81"	63	76
"82"	64	80
"83"	64	86
"84"	65	73
"85"	66	76
"86"	65	68
"87"	67	80
"88"	48	72
"89"	48	87
"90"	55	81
"91"	56	70
"92"	59	84
"93"	60	75
"94"	60	86
"95"	63	86
"96"	48	80
"97"	53	78
"98"	56	77
"99"	60	69
"100"	61	85
"101"	64	79
"102"	66	71
"103"	59	68
"104"	62	83
"105"	48	85
"106"	67	85
"107"	47	92
"108"	48	99
"109"	48	108
"110"	48	101
"111"	49	96
"112"	50	89
"113"	50	102
"114"	51	94
"115"	51	108
"116"	51	92
"117"	52	89
"118"	52	99
"119"	52	97
"120"	53	92
"121"	53	108
"122"	53	106
"123"	55	93
"124"	56	107
"125"	58	98
"126"	58	90
"127"	59	94
"128"	59	105
"129"	60	93
"130"	61	105
"131"	61	93
"132"	62	95
"133"	62	99
"134"	62	90
"135"	62	98
"136"	62	105
"137"	64	96
"138"	65	103
"139"	65	92
"140"	65	105
"141"	65	102
"142"	66	99
"143"	66	107
"144"	67	102
"145"	67	93
"146"	67	105
"147"	47	96
"148"	50	103
"149"	50	100
"150"	52	95
"151"	54	101
"152"	55	100
"153"	55	99
"154"	56	109
"155"	47	103
"156"	63	101
"157"	64	105
"158"	64	101
"159"	48	108
"160"	64	94
"161"	51	91
"162"	47	124
"163"	47	111
"164"	47	122
"165"	48	129
"166"	48	115
"167"	48	128
"168"	48	119
"169"	49	131
"170"	49	117
"171"	50	122
"172"	50	118
"173"	52	130
"174"	52	117
"175"	53	123
"176"	52	112
"177"	54	125
"178"	55	124
"179"	55	127
"180"	56	116
"181"	56	114
"182"	57	120
"183"	58	125
"184"	59	127
"185"	59	115
"186"	60	130
"187"	61	124
"188"	62	116
"189"	62	113
"190"	63	122
"191"	63	128
"192"	64	113
"193"	64	122
"194"	65	126
"195"	65	130
"196"	66	131
"197"	66	117
"198"	67	112
"199"	67	114
"200"	67	114
"201"	50	130
"202"	54	113
"203"	54	118
