""	"X0"	"X1"
"0"	47	57
"1"	47	64
"2"	49	60
"3"	50	63
"4"	54	62
"5"	55	56
"6"	57	60
"7"	58	53
"8"	59	58
"9"	59	65
"10"	59	61
"11"	60	58
"12"	60	56
"13"	62	57
"14"	64	56
"15"	65	58
"16"	65	56
"17"	65	58
"18"	66	64
"19"	67	52
"20"	47	56
"21"	53	61
"22"	63	53
"23"	63	60
"24"	67	53
"25"	58	55
"26"	50	64
"27"	48	59
"28"	51	56
"29"	52	57
"30"	55	60
"31"	58	57
"32"	59	60
"33"	60	53
"34"	61	56
"35"	62	60
"36"	62	64
"37"	64	56
"38"	64	64
"39"	65	53
"40"	46	75
"41"	48	81
"42"	48	85
"43"	49	86
"44"	50	81
"45"	50	78
"46"	50	70
"47"	50	80
"48"	51	87
"49"	51	85
"50"	52	87
"51"	53	75
"52"	53	80
"53"	54	85
"54"	55	75
"55"	57	68
"56"	58	75
"57"	59	70
"58"	59	82
"59"	59	67
"60"	60	84
"61"	60	69
"62"	60	87
"63"	61	84
"64"	62	71
"65"	62	81
"66"	63	75
"67"	65	70
"68"	65	87
"69"	67	73
"70"	68	87
"71"	52	77
"72"	54	86
"73"	59	73
"74"	60	85
"75"	66	75
"76"	53	73
"77"	54	71
"78"	56	84
"79"	59	77
"80"	62	79
"81"	64	81
"82"	65	81
"83"	67	70
"84"	67	83
"85"	49	84
"86"	53	68
"87"	55	80
"88"	57	73
"89"	64	71
"90"	47	99
"91"	47	91
"92"	48	109
"93"	48	107
"94"	49	97
"95"	50	106
"96"	50	99
"97"	50	96
"98"	50	100
"99"	50	95
"100"	51	99
"101"	51	92
"102"	52	103
"103"	52	106
"104"	56	95
"105"	56	90
"106"	56	93
"107"	56	99
"108"	57	94
"109"	57	107
"110"	57	95
"111"	57	97
"112"	59	107
"113"	59	94
"114"	60	99
"115"	60	97
"116"	60	90
"117"	63	100
"118"	63	101
"119"	64	104
"120"	64	109
"121"	64	104
"122"	66	101
"123"	66	95
"124"	48	94
"125"	54	92
"126"	55	102
"127"	55	107
"128"	56	104
"129"	59	102
"130"	59	90
"131"	64	89
"132"	64	101
"133"	65	102
"134"	58	104
"135"	59	105
"136"	47	98
"137"	48	106
"138"	55	89
"139"	55	108
"140"	57	93
"141"	63	104
"142"	64	107
"143"	64	92
"144"	65	97
"145"	46	129
"146"	46	128
"147"	47	122
"148"	48	120
"149"	49	126
"150"	49	131
"151"	49	120
"152"	50	125
"153"	50	128
"154"	50	130
"155"	52	117
"156"	52	125
"157"	52	125
"158"	52	115
"159"	54	114
"160"	54	129
"161"	55	117
"162"	55	112
"163"	55	119
"164"	55	125
"165"	56	125
"166"	56	124
"167"	57	115
"168"	57	130
"169"	58	122
"170"	59	113
"171"	59	126
"172"	61	118
"173"	62	112
"174"	62	130
"175"	62	124
"176"	62	120
"177"	63	127
"178"	63	114
"179"	64	117
"180"	65	127
"181"	65	114
"182"	66	122
"183"	67	130
"184"	46	126
"185"	60	126
"186"	61	114
