""	"X0"	"X1"
"0"	46	45
"1"	47	59
"2"	48	60
"3"	48	64
"4"	49	51
"5"	49	53
"6"	50	60
"7"	50	65
"8"	54	52
"9"	54	56
"10"	55	50
"11"	55	62
"12"	56	46
"13"	56	60
"14"	57	53
"15"	57	65
"16"	58	60
"17"	59	59
"18"	60	45
"19"	60	62
"20"	60	45
"21"	61	57
"22"	62	45
"23"	62	50
"24"	62	49
"25"	63	60
"26"	64	46
"27"	65	58
"28"	65	50
"29"	66	60
"30"	66	45
"31"	47	50
"32"	49	51
"33"	55	65
"34"	55	59
"35"	59	58
"36"	59	47
"37"	62	54
"38"	65	45
"39"	65	53
"40"	57	54
"41"	62	47
"42"	55	60
"43"	64	58
"44"	66	63
"45"	52	46
"46"	57	58
"47"	60	59
"48"	67	48
"49"	47	84
"50"	47	71
"51"	48	72
"52"	48	85
"53"	48	67
"54"	49	82
"55"	49	73
"56"	49	79
"57"	50	80
"58"	50	85
"59"	51	70
"60"	51	86
"61"	51	77
"62"	53	70
"63"	53	82
"64"	54	78
"65"	54	70
"66"	55	73
"67"	56	85
"68"	58	74
"69"	57	70
"70"	61	74
"71"	61	85
"72"	61	68
"73"	61	87
"74"	61	82
"75"	63	77
"76"	63	81
"77"	64	76
"78"	64	79
"79"	64	74
"80"	66	83
"81"	66	85
"82"	67	81
"83"	67	73
"84"	50	69
"85"	51	76
"86"	53	84
"87"	55	83
"88"	56	68
"89"	60	84
"90"	64	85
"91"	50	73
"92"	53	68
"93"	53	78
"94"	54	80
"95"	55	69
"96"	63	79
"97"	54	84
"98"	57	87
"99"	58	82
"100"	66	79
"101"	66	86
"102"	47	95
"103"	47	98
"104"	47	90
"105"	48	93
"106"	48	98
"107"	50	104
"108"	50	97
"109"	51	90
"110"	51	99
"111"	51	95
"112"	51	106
"113"	52	101
"114"	53	92
"115"	54	107
"116"	55	101
"117"	56	95
"118"	57	97
"119"	56	99
"120"	57	105
"121"	57	91
"122"	59	100
"123"	59	104
"124"	58	101
"125"	60	91
"126"	61	90
"127"	60	98
"128"	61	99
"129"	61	108
"130"	61	92
"131"	62	94
"132"	62	96
"133"	64	100
"134"	65	102
"135"	65	93
"136"	65	108
"137"	66	90
"138"	66	108
"139"	66	96
"140"	67	94
"141"	67	91
"142"	46	93
"143"	48	105
"144"	49	91
"145"	51	89
"146"	53	97
"147"	54	97
"148"	60	93
"149"	50	103
"150"	56	93
"151"	64	99
"152"	65	108
"153"	55	101
"154"	59	95
"155"	61	105
"156"	64	98
"157"	47	111
"158"	48	119
"159"	47	125
"160"	48	122
"161"	50	130
"162"	50	129
"163"	50	126
"164"	52	123
"165"	53	114
"166"	53	119
"167"	53	126
"168"	53	117
"169"	54	128
"170"	55	113
"171"	57	131
"172"	57	121
"173"	57	124
"174"	57	112
"175"	57	115
"176"	58	130
"177"	58	116
"178"	59	131
"179"	59	125
"180"	59	119
"181"	60	127
"182"	60	120
"183"	60	125
"184"	62	131
"185"	62	113
"186"	62	121
"187"	64	114
"188"	65	131
"189"	65	129
"190"	66	118
"191"	66	119
"192"	67	118
"193"	67	113
"194"	68	124
"195"	47	127
"196"	49	117
"197"	49	116
"198"	50	123
"199"	54	121
"200"	66	113
"201"	52	131
"202"	54	125
"203"	56	129
"204"	62	119
"205"	64	124
"206"	47	123
"207"	48	125
"208"	50	114
"209"	55	120
"210"	55	127
"211"	60	116
"212"	65	117
"213"	47	150
"214"	48	146
"215"	48	147
"216"	48	141
"217"	48	135
"218"	48	142
"219"	48	153
"220"	49	136
"221"	50	142
"222"	50	137
"223"	50	150
"224"	51	137
"225"	51	135
"226"	52	153
"227"	52	142
"228"	53	144
"229"	53	146
"230"	55	151
"231"	55	150
"232"	55	139
"233"	55	148
"234"	57	141
"235"	57	144
"236"	59	145
"237"	59	134
"238"	59	145
"239"	60	153
"240"	60	152
"241"	60	148
"242"	61	136
"243"	61	134
"244"	62	143
"245"	62	134
"246"	62	149
"247"	63	137
"248"	65	136
"249"	66	152
"250"	67	133
"251"	67	153
"252"	50	139
"253"	53	148
"254"	54	151
"255"	58	151
"256"	61	147
"257"	64	145
"258"	65	145
"259"	51	141
"260"	54	141
"261"	56	153
"262"	56	146
"263"	59	139
"264"	64	135
"265"	67	133
"266"	67	153
"267"	52	146
"268"	63	148
"269"	65	139
"270"	66	133
"271"	48	140
"272"	55	137
"273"	56	143
"274"	58	149
"275"	65	138
"276"	65	150
"277"	47	158
"278"	48	160
"279"	49	174
"280"	49	163
"281"	49	164
"282"	51	158
"283"	51	162
"284"	51	165
"285"	52	175
"286"	54	163
"287"	54	175
"288"	54	172
"289"	55	170
"290"	55	166
"291"	56	169
"292"	58	173
"293"	59	166
"294"	59	158
"295"	59	156
"296"	60	166
"297"	59	162
"298"	60	164
"299"	60	169
"300"	60	173
"301"	61	160
"302"	63	160
"303"	63	161
"304"	64	158
"305"	65	168
"306"	66	159
"307"	67	174
"308"	67	164
"309"	67	162
"310"	52	165
"311"	53	171
"312"	56	175
"313"	56	163
"314"	56	167
"315"	66	167
"316"	52	160
"317"	53	170
"318"	54	164
"319"	57	157
"320"	58	171
"321"	66	162
"322"	47	172
"323"	47	173
"324"	50	168
"325"	51	156
"326"	55	171
"327"	59	175
"328"	64	156
"329"	46	190
"330"	47	178
"331"	47	196
"332"	48	183
"333"	48	197
"334"	48	184
"335"	48	194
"336"	50	190
"337"	50	179
"338"	50	193
"339"	50	182
"340"	51	177
"341"	51	189
"342"	52	192
"343"	51	187
"344"	52	198
"345"	52	180
"346"	53	187
"347"	53	193
"348"	53	196
"349"	54	182
"350"	55	186
"351"	55	190
"352"	55	198
"353"	56	180
"354"	56	190
"355"	56	182
"356"	57	193
"357"	57	195
"358"	57	190
"359"	57	181
"360"	58	179
"361"	59	193
"362"	59	186
"363"	60	195
"364"	60	198
"365"	61	195
"366"	61	180
"367"	61	190
"368"	61	196
"369"	62	184
"370"	61	186
"371"	63	182
"372"	65	188
"373"	65	178
"374"	66	193
"375"	66	178
"376"	66	190
"377"	67	183
"378"	48	178
"379"	50	188
"380"	53	193
"381"	55	185
"382"	58	192
"383"	54	189
"384"	64	195
"385"	65	184
"386"	49	187
"387"	64	195
"388"	65	187
"389"	49	189
"390"	59	189
"391"	65	181
"392"	68	196
"393"	64	193
"394"	47	212
"395"	48	220
"396"	50	210
"397"	50	219
"398"	50	204
"399"	51	214
"400"	51	218
"401"	52	212
"402"	52	202
"403"	53	217
"404"	54	211
