""	"X0"	"X1"
"0"	48	49
"1"	49	57
"2"	49	61
"3"	49	48
"4"	49	63
"5"	51	50
"6"	51	55
"7"	52	63
"8"	53	53
"9"	53	58
"10"	53	63
"11"	55	54
"12"	55	47
"13"	58	60
"14"	58	45
"15"	59	50
"16"	59	56
"17"	59	50
"18"	60	45
"19"	61	50
"20"	61	47
"21"	63	47
"22"	63	48
"23"	64	60
"24"	64	57
"25"	64	64
"26"	65	47
"27"	66	51
"28"	66	51
"29"	66	46
"30"	66	59
"31"	67	48
"32"	67	60
"33"	67	56
"34"	47	62
"35"	48	65
"36"	49	54
"37"	51	53
"38"	56	62
"39"	58	52
"40"	60	47
"41"	62	58
"42"	64	56
"43"	66	54
"44"	47	46
"45"	52	52
"46"	55	63
"47"	59	48
"48"	62	64
"49"	66	52
"50"	50	65
"51"	54	60
"52"	58	62
"53"	48	51
"54"	50	59
"55"	53	50
"56"	56	60
"57"	60	56
"58"	47	77
"59"	48	76
"60"	49	84
"61"	50	76
"62"	51	87
"63"	51	75
"64"	51	80
"65"	52	79
"66"	52	82
"67"	52	70
"68"	52	76
"69"	54	83
"70"	55	73
"71"	55	68
"72"	56	86
"73"	57	70
"74"	57	87
"75"	57	74
"76"	57	67
"77"	57	79
"78"	59	67
"79"	60	78
"80"	59	82
"81"	60	71
"82"	61	68
"83"	61	82
"84"	62	85
"85"	62	70
"86"	62	79
"87"	63	77
"88"	63	75
"89"	66	71
"90"	66	75
"91"	67	83
"92"	67	77
"93"	58	68
"94"	61	74
"95"	66	86
"96"	53	68
"97"	55	82
"98"	55	70
"99"	62	68
"100"	64	84
"101"	51	79
"102"	56	73
"103"	48	102
"104"	48	96
"105"	49	91
"106"	49	109
"107"	50	89
"108"	51	105
"109"	51	108
"110"	52	103
"111"	52	93
"112"	52	95
"113"	53	89
"114"	53	107
"115"	54	104
"116"	55	96
"117"	56	97
"118"	56	107
"119"	57	92
"120"	58	103
"121"	57	97
"122"	59	94
"123"	59	91
"124"	61	108
"125"	61	109
"126"	62	89
"127"	62	106
"128"	62	108
"129"	62	101
"130"	62	100
"131"	63	94
"132"	63	106
"133"	64	103
"134"	64	109
"135"	64	91
"136"	66	98
"137"	48	91
"138"	50	96
"139"	51	99
"140"	51	98
"141"	55	99
"142"	59	103
"143"	61	103
"144"	63	96
"145"	65	108
"146"	66	103
"147"	52	99
"148"	57	103
"149"	63	103
"150"	63	97
"151"	64	99
"152"	64	98
"153"	66	90
"154"	68	97
"155"	55	95
"156"	62	95
"157"	67	92
"158"	47	124
"159"	47	128
"160"	48	124
"161"	49	116
"162"	50	125
"163"	50	118
"164"	50	121
"165"	50	123
"166"	50	131
"167"	51	114
"168"	52	126
"169"	53	124
"170"	53	117
"171"	53	127
"172"	53	116
"173"	54	131
"174"	54	123
"175"	54	122
"176"	55	120
"177"	56	119
"178"	56	126
"179"	57	115
"180"	60	124
"181"	60	113
"182"	61	130
"183"	61	126
"184"	61	119
"185"	62	112
"186"	62	132
"187"	62	121
"188"	63	119
"189"	64	120
"190"	65	130
"191"	65	116
"192"	65	112
"193"	66	125
"194"	67	117
"195"	67	129
"196"	67	117
"197"	67	127
"198"	68	123
"199"	49	120
"200"	55	118
"201"	55	112
"202"	55	128
"203"	56	116
"204"	57	131
"205"	61	113
"206"	63	116
"207"	63	127
"208"	66	118
"209"	49	131
"210"	50	112
"211"	50	128
"212"	58	120
"213"	58	126
"214"	63	125
"215"	64	115
"216"	57	112
"217"	63	123
"218"	47	149
"219"	47	143
"220"	48	149
"221"	48	147
"222"	49	152
"223"	50	152
"224"	50	146
"225"	51	136
"226"	51	146
"227"	53	140
"228"	53	136
"229"	55	152
"230"	54	153
"231"	56	152
"232"	56	146
"233"	56	136
"234"	57	154
"235"	58	146
"236"	58	152
"237"	59	140
"238"	59	151
"239"	59	148
"240"	61	139
"241"	62	148
"242"	62	144
"243"	62	138
"244"	63	143
"245"	63	141
"246"	65	141
"247"	65	149
"248"	66	150
"249"	66	138
"250"	67	133
"251"	67	135
"252"	67	137
"253"	67	142
"254"	47	136
"255"	48	153
"256"	52	150
"257"	53	151
"258"	58	141
"259"	59	143
"260"	59	145
