""	"X0"	"X1"
"0"	46	59
"1"	46	61
"2"	47	56
"3"	48	49
"4"	49	64
"5"	50	50
"6"	50	46
"7"	51	61
"8"	52	45
"9"	52	57
"10"	53	63
"11"	53	45
"12"	53	63
"13"	54	59
"14"	54	51
"15"	55	57
"16"	56	54
"17"	56	52
"18"	56	57
"19"	57	63
"20"	58	50
"21"	57	62
"22"	58	51
"23"	58	52
"24"	58	58
"25"	59	46
"26"	59	45
"27"	59	46
"28"	59	56
"29"	60	64
"30"	67	60
"31"	67	58
"32"	47	46
"33"	52	64
"34"	53	52
"35"	57	47
"36"	60	46
"37"	64	61
"38"	48	57
"39"	49	57
"40"	47	61
"41"	62	55
"42"	63	55
"43"	48	45
"44"	49	47
"45"	48	45
"46"	50	49
"47"	57	53
"48"	57	50
"49"	58	51
"50"	60	56
"51"	60	59
"52"	61	56
"53"	63	59
"54"	63	61
"55"	49	49
"56"	48	75
"57"	48	83
"58"	49	86
"59"	49	75
"60"	50	70
"61"	52	86
"62"	52	70
"63"	52	68
"64"	53	81
"65"	53	76
"66"	53	83
"67"	53	85
"68"	54	79
"69"	54	84
"70"	54	87
"71"	55	75
"72"	56	73
"73"	56	84
"74"	57	71
"75"	57	83
"76"	58	87
"77"	58	77
"78"	59	75
"79"	59	67
"80"	60	85
"81"	61	80
"82"	61	81
"83"	61	75
"84"	62	83
"85"	62	73
"86"	62	77
"87"	63	67
"88"	63	81
"89"	63	86
"90"	64	76
"91"	64	82
"92"	65	71
"93"	65	81
"94"	65	67
"95"	65	78
"96"	66	83
"97"	67	73
"98"	67	77
"99"	48	72
"100"	48	79
"101"	53	69
"102"	55	73
"103"	60	72
"104"	63	71
"105"	65	75
"106"	54	81
"107"	56	67
"108"	57	76
"109"	57	69
"110"	63	87
"111"	63	72
"112"	67	75
"113"	51	69
"114"	52	84
"115"	55	69
"116"	57	78
"117"	60	87
"118"	61	69
"119"	63	75
"120"	65	85
"121"	46	97
"122"	47	107
"123"	48	94
"124"	50	96
"125"	50	92
"126"	51	97
"127"	52	97
"128"	53	91
"129"	53	99
"130"	53	95
"131"	54	105
"132"	55	103
"133"	56	100
"134"	56	93
"135"	56	91
"136"	57	94
"137"	58	97
"138"	58	109
"139"	59	94
"140"	60	90
"141"	60	109
"142"	60	106
"143"	61	99
"144"	62	109
"145"	62	91
"146"	62	104
"147"	63	105
"148"	63	92
"149"	64	90
"150"	64	94
"151"	64	97
"152"	64	108
"153"	65	102
"154"	66	89
"155"	66	94
"156"	66	104
"157"	49	106
"158"	51	102
"159"	52	101
"160"	54	102
"161"	54	101
"162"	58	106
"163"	65	105
"164"	50	102
"165"	53	104
"166"	59	102
"167"	58	103
"168"	62	107
"169"	65	103
"170"	65	98
"171"	52	107
"172"	56	97
"173"	62	96
"174"	48	96
"175"	52	100
"176"	55	100
"177"	57	97
"178"	64	101
"179"	47	112
"180"	48	131
"181"	49	128
"182"	51	129
"183"	51	123
"184"	51	117
"185"	52	113
"186"	52	123
"187"	53	117
"188"	54	121
"189"	54	113
"190"	57	130
"191"	57	111
"192"	59	120
"193"	59	121
"194"	60	114
"195"	60	129
"196"	60	126
"197"	61	125
"198"	61	131
"199"	61	123
"200"	61	121
"201"	62	116
"202"	63	128
"203"	62	121
"204"	64	118
"205"	64	115
"206"	65	121
"207"	65	128
"208"	49	112
"209"	52	124
"210"	54	129
"211"	65	118
"212"	66	115
"213"	47	123
