""	"X0"	"X1"
"398"	51	201
"399"	52	206
"400"	52	204
"401"	54	203
"402"	54	217
"403"	55	219
"404"	54	208
"405"	55	212
"406"	55	206
"407"	56	219
"408"	57	202
"409"	57	203
"410"	57	200
"411"	58	212
"412"	58	210
"413"	58	201
"414"	59	203
"415"	59	202
"416"	59	210
"417"	59	207
"418"	59	204
"419"	60	205
"420"	60	204
"421"	61	219
"422"	62	201
"423"	62	203
"424"	63	217
"425"	63	210
"426"	63	217
"427"	64	205
"428"	65	208
"429"	65	204
"430"	66	216
"431"	67	203
"432"	67	206
"433"	67	215
"434"	54	214
"435"	54	201
"436"	47	205
"437"	47	201
"438"	53	202
"439"	59	213
"440"	61	214
"441"	64	215
"442"	51	207
"443"	54	219
"444"	55	204
"445"	56	205
"446"	47	200
"447"	54	209
"448"	54	210
"449"	57	208
"450"	61	208
"451"	61	216
"452"	62	212
"453"	62	213
"454"	64	214
"455"	67	213
"456"	46	240
"457"	47	226
"458"	48	240
"459"	48	234
"460"	49	229
"461"	49	227
"462"	49	222
"463"	50	231
"464"	50	227
"465"	51	233
"466"	51	234
"467"	51	229
"468"	52	228
"469"	53	240
"470"	54	221
"471"	55	240
"472"	55	239
"473"	55	229
"474"	56	223
"475"	56	232
"476"	57	225
"477"	58	232
"478"	57	227
"479"	58	236
"480"	59	224
"481"	60	234
"482"	60	223
"483"	61	240
"484"	61	228
"485"	61	236
"486"	62	235
"487"	63	232
"488"	66	234
"489"	67	240
"490"	46	234
"491"	48	236
"492"	49	241
"493"	54	227
"494"	58	241
"495"	58	223
"496"	61	231
"497"	62	229
"498"	64	229
"499"	64	237
"500"	51	238
"501"	55	238
"502"	58	224
"503"	62	225
"504"	47	232
"505"	53	231
"506"	66	226
"507"	47	229
"508"	48	224
"509"	52	238
"510"	52	240
"511"	52	224
"512"	53	237
"513"	54	236
"514"	53	223
"515"	55	232
"516"	57	222
"517"	58	234
"518"	59	234
"519"	63	223
"520"	64	222
"521"	66	224
"522"	67	226
"523"	68	230
"524"	69	231
"525"	69	228
"526"	69	236
"527"	70	231
"528"	71	231
"529"	71	224
"530"	71	236
"531"	71	221
"532"	74	241
"533"	75	230
"534"	76	240
"535"	76	222
"536"	77	222
"537"	77	240
"538"	77	231
"539"	78	222
"540"	79	229
"541"	80	240
"542"	81	241
"543"	82	229
"544"	82	238
"545"	83	223
"546"	84	231
"547"	84	235
"548"	85	238
"549"	85	235
"550"	86	223
"551"	86	233
"552"	87	224
"553"	88	240
"554"	89	237
"555"	89	236
"556"	89	227
"557"	90	232
"558"	72	240
"559"	74	225
"560"	77	227
"561"	81	233
"562"	83	225
"563"	84	223
"564"	85	227
"565"	86	240
"566"	72	234
"567"	72	231
"568"	88	225
"569"	89	222
"570"	69	233
"571"	70	239
"572"	72	238
"573"	73	240
"574"	76	231
"575"	76	239
"576"	77	226
"577"	79	240
"578"	80	239
"579"	81	225
"580"	84	239
"581"	69	201
"582"	70	200
"583"	70	202
"584"	72	202
"585"	72	212
"586"	72	214
"587"	73	220
"588"	73	218
"589"	73	206
"590"	73	201
"591"	74	213
"592"	74	211
"593"	75	215
"594"	77	199
"595"	77	205
"596"	77	211
"597"	79	212
"598"	79	218
"599"	79	201
"600"	80	210
"601"	81	203
"602"	82	207
"603"	83	205
"604"	85	204
"605"	85	218
"606"	86	214
"607"	87	211
"608"	87	204
"609"	88	213
"610"	88	214
"611"	89	201
"612"	89	210
"613"	89	219
"614"	72	218
"615"	72	200
"616"	73	217
"617"	74	207
"618"	77	208
"619"	78	206
"620"	82	213
"621"	86	208
"622"	69	204
"623"	70	210
"624"	74	200
"625"	85	200
"626"	89	208
"627"	89	204
"628"	80	205
"629"	69	214
"630"	70	204
"631"	71	218
"632"	72	209
"633"	76	202
"634"	77	213
"635"	80	203
"636"	83	211
"637"	83	207
"638"	85	213
"639"	85	220
"640"	87	199
"641"	89	212
"642"	69	207
"643"	70	207
"644"	69	196
"645"	69	192
"646"	69	182
"647"	71	189
"648"	72	185
"649"	72	179
"650"	73	197
"651"	74	197
"652"	75	192
"653"	76	191
"654"	77	178
"655"	76	185
"656"	77	192
"657"	76	195
"658"	78	182
"659"	81	178
"660"	81	177
"661"	81	189
"662"	82	197
