""	"X0"	"X1"
"0"	47	54
"1"	47	61
"2"	48	49
"3"	48	51
"4"	48	47
"5"	49	54
"6"	50	55
"7"	50	60
"8"	50	62
"9"	50	49
"10"	52	55
"11"	52	45
"12"	52	59
"13"	52	54
"14"	53	52
"15"	53	58
"16"	53	60
"17"	54	53
"18"	54	57
"19"	54	48
"20"	56	55
"21"	57	65
"22"	57	52
"23"	58	45
"24"	58	55
"25"	58	54
"26"	59	50
"27"	60	63
"28"	59	56
"29"	60	50
"30"	60	48
"31"	60	60
"32"	60	46
"33"	61	63
"34"	62	50
"35"	62	49
"36"	63	63
"37"	63	56
"38"	63	63
"39"	65	48
"40"	66	49
"41"	66	50
"42"	66	49
"43"	67	63
"44"	67	52
"45"	50	56
"46"	50	53
"47"	51	62
"48"	58	59
"49"	63	61
"50"	64	64
"51"	66	52
"52"	63	47
"53"	63	47
"54"	67	50
"55"	65	55
"56"	47	83
"57"	49	74
"58"	49	77
"59"	49	80
"60"	50	76
"61"	51	68
"62"	51	75
"63"	52	71
"64"	52	86
"65"	53	81
"66"	53	83
"67"	54	70
"68"	54	67
"69"	54	77
"70"	54	74
"71"	55	84
"72"	55	69
"73"	55	83
"74"	56	75
"75"	57	78
"76"	57	80
"77"	58	76
"78"	59	84
"79"	59	86
"80"	59	80
"81"	60	74
"82"	61	68
"83"	61	70
"84"	61	82
"85"	62	71
"86"	62	73
"87"	62	85
"88"	63	69
"89"	64	78
"90"	65	83
"91"	65	72
"92"	66	68
"93"	66	73
"94"	67	72
"95"	67	85
"96"	51	78
"97"	53	86
"98"	56	67
"99"	48	73
"100"	55	78
"101"	63	76
"102"	67	69
"103"	59	69
"104"	59	68
"105"	56	72
"106"	60	77
"107"	62	78
"108"	47	91
"109"	48	108
"110"	48	93
"111"	48	102
"112"	48	90
"113"	49	94
"114"	50	95
"115"	52	101
"116"	52	106
"117"	52	109
"118"	53	100
"119"	55	108
"120"	55	98
"121"	55	90
"122"	55	105
"123"	56	105
"124"	57	104
"125"	58	95
"126"	59	105
"127"	60	101
"128"	61	93
"129"	61	104
"130"	62	100
"131"	63	108
"132"	63	91
"133"	64	106
"134"	66	103
"135"	66	107
"136"	67	90
"137"	67	96
"138"	52	94
"139"	53	104
"140"	59	93
"141"	62	91
"142"	66	94
"143"	67	91
"144"	49	97
"145"	49	103
"146"	52	97
"147"	62	97
"148"	63	101
"149"	64	94
"150"	65	97
"151"	49	106
"152"	52	102
"153"	55	94
"154"	58	103
"155"	65	105
"156"	50	101
"157"	58	92
"158"	60	100
"159"	62	92
"160"	62	104
"161"	62	99
"162"	63	104
"163"	64	107
"164"	66	102
"165"	67	104
"166"	67	99
"167"	67	97
"168"	47	127
"169"	47	122
"170"	48	130
"171"	49	120
"172"	49	124
"173"	49	111
"174"	50	114
"175"	50	116
"176"	51	127
"177"	53	124
"178"	53	113
"179"	54	127
"180"	54	116
"181"	54	118
"182"	54	121
"183"	55	131
"184"	56	128
"185"	57	122
"186"	56	115
"187"	57	117
"188"	57	111
"189"	58	118
"190"	58	123
"191"	60	129
"192"	60	125
"193"	61	119
"194"	62	127
"195"	62	112
"196"	62	115
"197"	63	114
"198"	64	118
"199"	64	123
"200"	64	116
"201"	66	118
"202"	67	120
"203"	54	115
"204"	55	112
"205"	62	125
"206"	66	113
"207"	67	125
"208"	46	123
"209"	56	116
"210"	60	113
"211"	61	130
"212"	62	124
