""	"X0"	"X1"
"0"	47	50
"1"	47	45
"2"	47	54
"3"	47	54
"4"	47	48
"5"	48	58
"6"	49	45
"7"	49	65
"8"	50	63
"9"	50	56
"10"	51	55
"11"	51	60
"12"	52	48
"13"	52	45
"14"	52	65
"15"	52	54
"16"	52	64
"17"	53	49
"18"	54	55
"19"	55	53
"20"	55	61
"21"	55	49
"22"	55	64
"23"	56	65
"24"	56	65
"25"	57	47
"26"	58	52
"27"	57	59
"28"	58	45
"29"	58	54
"30"	58	49
"31"	59	61
"32"	60	45
"33"	60	55
"34"	61	65
"35"	61	52
"36"	60	59
"37"	62	58
"38"	63	60
"39"	63	57
"40"	63	62
"41"	65	59
"42"	65	63
"43"	67	56
"44"	67	59
"45"	67	61
"46"	67	48
"47"	67	50
"48"	68	49
"49"	47	65
"50"	48	57
"51"	54	46
"52"	58	50
"53"	59	53
"54"	62	51
"55"	65	65
"56"	55	54
"57"	56	51
"58"	60	50
"59"	61	60
"60"	63	65
"61"	66	61
"62"	67	55
"63"	63	53
"64"	53	58
"65"	48	84
"66"	50	76
"67"	50	73
"68"	52	78
"69"	53	85
"70"	53	75
"71"	53	75
"72"	54	83
"73"	54	73
"74"	54	71
"75"	55	67
"76"	56	83
"77"	57	78
"78"	59	81
"79"	60	68
"80"	62	80
"81"	62	84
"82"	63	80
"83"	63	76
"84"	63	77
"85"	64	81
"86"	64	69
"87"	68	73
"88"	50	71
"89"	52	68
"90"	57	71
"91"	57	81
"92"	60	83
"93"	67	80
"94"	48	73
"95"	52	87
"96"	56	87
"97"	58	82
"98"	61	86
"99"	63	86
"100"	66	70
"101"	67	76
"102"	47	104
"103"	47	103
"104"	47	100
"105"	47	108
"106"	48	93
"107"	49	104
"108"	50	99
"109"	50	103
"110"	50	94
"111"	50	91
"112"	53	109
"113"	52	101
"114"	52	107
"115"	53	102
"116"	53	96
"117"	53	104
"118"	53	105
"119"	54	96
"120"	54	93
"121"	55	90
"122"	57	94
"123"	57	102
"124"	58	90
"125"	59	101
"126"	60	93
"127"	60	95
"128"	61	103
"129"	61	101
"130"	61	97
"131"	61	107
"132"	62	90
"133"	64	92
"134"	64	99
"135"	64	93
"136"	65	89
"137"	67	92
"138"	68	93
"139"	48	91
"140"	57	90
"141"	58	107
"142"	61	98
"143"	61	105
"144"	62	105
"145"	64	97
"146"	52	91
"147"	61	94
"148"	67	108
"149"	58	108
"150"	60	92
"151"	48	115
"152"	48	131
"153"	48	123
"154"	49	111
"155"	50	113
"156"	50	128
"157"	51	124
"158"	51	131
"159"	51	117
"160"	52	119
"161"	52	122
"162"	53	126
"163"	52	116
"164"	54	117
"165"	54	127
"166"	55	123
"167"	55	117
"168"	56	125
"169"	57	123
"170"	58	119
"171"	58	112
"172"	59	126
"173"	59	122
"174"	60	112
"175"	61	126
"176"	62	113
"177"	62	119
"178"	62	131
"179"	63	123
"180"	63	127
"181"	63	112
"182"	64	120
"183"	65	121
"184"	66	113
"185"	66	131
"186"	49	117
"187"	54	112
"188"	54	126
"189"	56	115
"190"	57	127
"191"	61	115
"192"	62	122
"193"	56	130
"194"	67	122
"195"	67	123
"196"	51	128
"197"	52	129
"198"	48	130
"199"	67	129
"200"	49	152
"201"	50	137
"202"	50	138
"203"	51	141
"204"	52	136
"205"	52	144
"206"	53	148
"207"	53	144
"208"	53	141
"209"	54	138
"210"	54	149
"211"	55	142
"212"	56	136
"213"	56	150
"214"	56	139
"215"	57	135
"216"	57	153
"217"	57	149
"218"	58	141
"219"	58	144
"220"	58	145
"221"	59	142
"222"	60	147
"223"	60	145
"224"	60	141
"225"	60	153
"226"	61	137
"227"	62	151
"228"	61	135
"229"	62	144
"230"	63	133
"231"	63	146
"232"	63	138
"233"	63	141
"234"	64	146
"235"	64	140
"236"	65	146
"237"	66	153
"238"	66	146
"239"	67	149
"240"	67	141
"241"	53	134
"242"	61	149
"243"	67	148
"244"	48	147
"245"	48	135
"246"	55	135
"247"	55	145
"248"	65	136
"249"	52	152
"250"	54	140
"251"	55	153
"252"	59	136
"253"	63	153
"254"	47	142
"255"	48	141
"256"	51	148
"257"	61	152
"258"	46	173
"259"	46	171
"260"	48	171
"261"	48	168
"262"	49	162
"263"	49	159
"264"	50	166
"265"	50	156
"266"	51	161
"267"	51	169
"268"	52	158
"269"	53	168
"270"	53	158
"271"	55	166
"272"	55	158
"273"	55	175
"274"	56	162
"275"	56	164
"276"	56	160
"277"	57	167
"278"	58	156
"279"	59	168
"280"	59	171
"281"	59	159
"282"	60	161
"283"	61	166
"284"	61	162
"285"	62	169
"286"	62	168
"287"	62	163
"288"	63	158
"289"	63	164
"290"	63	174
"291"	63	172
"292"	64	165
"293"	65	172
"294"	65	173
"295"	65	164
"296"	66	164
"297"	67	161
"298"	67	165
"299"	49	160
"300"	50	164
"301"	53	162
"302"	55	169
"303"	57	158
"304"	59	173
"305"	61	167
"306"	65	156
"307"	65	169
"308"	66	172
"309"	51	168
"310"	52	155
"311"	54	174
"312"	57	171
"313"	60	157
"314"	52	166
"315"	53	160
"316"	54	159
"317"	55	155
"318"	58	160
"319"	47	160
"320"	55	163
"321"	56	161
"322"	57	159
"323"	66	158
"324"	48	191
"325"	50	184
"326"	50	193
"327"	51	196
"328"	52	191
"329"	52	178
"330"	53	196
"331"	54	196
"332"	54	190
"333"	54	182
"334"	54	188
"335"	55	195
"336"	55	189
"337"	55	186
"338"	56	194
"339"	57	195
"340"	57	178
"341"	57	191
"342"	57	192
"343"	57	185
"344"	58	187
"345"	58	189
"346"	59	196
"347"	59	188
"348"	59	183
"349"	60	183
"350"	60	196
"351"	61	188
"352"	61	194
"353"	61	185
"354"	62	183
"355"	63	191
"356"	64	183
"357"	64	189
