""	"X0"	"X1"
"0"	47	46
"1"	47	48
"2"	47	49
"3"	47	63
"4"	48	46
"5"	47	61
"6"	48	59
"7"	48	50
"8"	48	55
"9"	48	61
"10"	49	51
"11"	49	56
"12"	50	64
"13"	50	45
"14"	51	49
"15"	51	63
"16"	51	47
"17"	52	58
"18"	52	53
"19"	53	46
"20"	53	62
"21"	54	47
"22"	54	60
"23"	56	48
"24"	56	60
"25"	57	50
"26"	57	54
"27"	57	53
"28"	57	47
"29"	57	64
"30"	58	45
"31"	59	53
"32"	59	59
"33"	60	57
"34"	62	58
"35"	62	53
"36"	62	48
"37"	63	57
"38"	64	60
"39"	65	60
"40"	65	47
"41"	65	56
"42"	66	51
"43"	67	65
"44"	67	63
"45"	48	48
"46"	48	51
"47"	54	61
"48"	55	61
"49"	55	56
"50"	55	60
"51"	57	59
"52"	58	58
"53"	66	48
"54"	66	58
"55"	47	55
"56"	51	49
"57"	52	50
"58"	54	54
"59"	62	60
"60"	51	46
"61"	59	46
"62"	53	54
"63"	63	56
"64"	64	48
"65"	47	82
"66"	48	84
"67"	49	67
"68"	49	80
"69"	50	78
"70"	51	86
"71"	51	79
"72"	53	75
"73"	54	78
"74"	55	86
"75"	56	69
"76"	58	74
"77"	58	78
"78"	59	68
"79"	59	83
"80"	60	71
"81"	60	87
"82"	61	76
"83"	61	76
"84"	62	70
"85"	62	78
"86"	63	73
"87"	63	72
"88"	63	86
"89"	64	80
"90"	66	75
"91"	66	72
"92"	67	85
"93"	67	87
"94"	51	73
"95"	52	69
"96"	54	73
"97"	60	70
"98"	57	76
"99"	47	87
"100"	52	67
"101"	59	74
"102"	63	68
"103"	52	77
"104"	63	71
"105"	47	107
"106"	47	92
"107"	48	94
"108"	48	102
"109"	48	89
"110"	49	108
"111"	51	91
"112"	51	99
"113"	51	98
"114"	51	102
"115"	52	103
"116"	52	108
"117"	52	102
"118"	54	99
"119"	54	108
"120"	55	102
"121"	55	108
"122"	55	93
"123"	60	94
"124"	61	106
"125"	62	106
"126"	64	107
"127"	65	89
"128"	66	99
"129"	66	104
"130"	66	109
"131"	67	94
"132"	67	99
"133"	49	95
"134"	58	99
"135"	59	91
"136"	60	91
"137"	62	109
"138"	63	89
"139"	63	97
"140"	64	106
"141"	67	101
"142"	47	98
"143"	54	104
"144"	60	109
"145"	60	105
"146"	47	103
"147"	47	102
"148"	57	90
"149"	61	109
"150"	66	102
"151"	66	101
"152"	47	119
"153"	48	115
"154"	48	112
"155"	49	127
"156"	50	121
"157"	50	118
"158"	51	130
"159"	52	124
"160"	52	116
"161"	52	114
"162"	52	118
"163"	53	123
"164"	53	129
"165"	55	115
"166"	55	127
"167"	56	125
"168"	56	117
"169"	56	130
"170"	56	123
"171"	56	125
"172"	57	131
"173"	56	122
"174"	57	124
"175"	57	114
"176"	57	127
"177"	60	117
"178"	60	127
"179"	61	130
"180"	61	132
"181"	62	125
"182"	62	111
"183"	63	129
"184"	64	126
"185"	64	131
"186"	65	119
"187"	66	124
"188"	67	131
"189"	67	119
"190"	47	123
"191"	48	125
"192"	50	111
"193"	56	120
"194"	59	114
"195"	63	131
"196"	64	116
"197"	48	121
"198"	49	125
"199"	59	130
"200"	60	119
"201"	66	112
"202"	67	127
"203"	58	115
"204"	50	128
"205"	55	121
"206"	59	128
"207"	61	118
"208"	47	149
"209"	47	144
"210"	47	142
"211"	49	137
"212"	50	143
"213"	51	151
"214"	50	154
"215"	51	135
"216"	52	153
"217"	53	148
"218"	53	154
"219"	54	146
"220"	54	142
"221"	55	151
"222"	56	141
"223"	56	145
"224"	56	152
"225"	56	139
"226"	57	144
"227"	57	153
"228"	57	137
"229"	57	141
"230"	58	149
"231"	59	143
"232"	59	149
"233"	59	146
"234"	60	141
"235"	62	153
"236"	62	152
"237"	62	146
