""	"X0"	"X1"
"0"	46	63
"1"	47	48
"2"	47	52
"3"	47	57
"4"	49	51
"5"	50	62
"6"	49	53
"7"	50	46
"8"	50	63
"9"	51	48
"10"	51	60
"11"	51	59
"12"	51	50
"13"	53	62
"14"	54	52
"15"	54	48
"16"	55	49
"17"	55	59
"18"	55	62
"19"	57	62
"20"	57	51
"21"	57	55
"22"	58	58
"23"	58	50
"24"	59	51
"25"	60	60
"26"	60	51
"27"	61	60
"28"	61	51
"29"	62	54
"30"	65	51
"31"	66	57
"32"	66	50
"33"	67	49
"34"	67	50
"35"	52	63
"36"	53	45
"37"	54	45
"38"	55	48
"39"	58	59
"40"	62	56
"41"	46	55
"42"	53	49
"43"	60	63
"44"	63	63
"45"	62	51
"46"	64	51
"47"	52	62
"48"	53	47
"49"	53	46
"50"	56	51
"51"	66	61
"52"	67	48
"53"	47	68
"54"	48	87
"55"	49	82
"56"	49	80
"57"	50	73
"58"	50	85
"59"	52	72
"60"	52	76
"61"	52	69
"62"	53	69
"63"	53	74
"64"	53	71
"65"	53	79
"66"	54	73
"67"	54	67
"68"	54	83
"69"	54	81
"70"	56	77
"71"	56	75
"72"	57	73
"73"	57	84
"74"	57	69
"75"	58	85
"76"	59	69
"77"	60	81
"78"	61	71
"79"	62	82
"80"	62	80
"81"	64	80
"82"	64	77
"83"	66	71
"84"	65	80
"85"	66	77
"86"	66	82
"87"	66	78
"88"	67	85
"89"	50	82
"90"	50	86
"91"	56	80
"92"	58	79
"93"	59	82
"94"	60	71
"95"	65	85
"96"	67	67
"97"	67	75
"98"	47	74
"99"	50	78
"100"	55	72
"101"	63	66
"102"	65	66
"103"	53	85
"104"	58	72
"105"	50	76
"106"	52	74
"107"	53	77
"108"	56	86
"109"	60	73
"110"	65	86
"111"	47	109
"112"	49	99
"113"	50	91
"114"	50	105
"115"	51	93
"116"	50	109
"117"	51	98
"118"	52	105
"119"	53	100
"120"	54	94
"121"	55	93
"122"	55	88
"123"	55	102
"124"	57	106
"125"	58	92
"126"	58	103
"127"	58	107
"128"	58	94
"129"	59	90
"130"	59	94
"131"	59	97
"132"	60	101
"133"	60	102
"134"	61	105
"135"	62	89
"136"	62	96
"137"	62	101
"138"	62	109
"139"	63	100
"140"	64	107
"141"	64	89
"142"	65	109
"143"	65	97
"144"	65	95
"145"	67	105
"146"	47	96
"147"	51	106
"148"	53	108
"149"	53	103
"150"	57	96
"151"	58	93
"152"	66	93
"153"	51	95
"154"	51	96
"155"	53	99
